Site_ID,site_name,VI,variable,duration,intensity,ancient_group,family,genus,species,Lon,Lat,Elevation,Continent,Country,type,yr_strat,yr_end,yr_len,SOS_Month,EOS_Month,GS_Months,Num_GS_Months,lab,TMP_sd_gs_mean,PRE_sd_gs_mean,SR_sd_gs_mean,CO2_sd_gs_mean,VPD_sd_gs_mean,TRW_mean,TMP_mean,PRE_mean,SR_mean,CO2_mean,VPD_mean,TRW_cv,TMP_cv,PRE_cv,SR_cv,CO2_cv,VPD_cv,species_for_matching,phylo_depth,branch_length,sister_distance,phylo_match_type
12,africa_eth002,TRW,TRW,4,0.15688,AncientGroup_D_4,Cupressaceae,Juniperus,Juniperus procera Hochst. ex Endl.,37.97,13.12,2975,africa,Ethiopia,Warm Humid,1940,2006,67,6,1,"6,7,8,9,10,11,12,1",8,110596,1.079028864,102.3428504,27.03436416,2.462222677,0.252222096,0.978310172,20.97052278,711.8015067,1716.170178,329.7558494,1.012043981,0.195674811,0.026743308,0.19438305,0.110805748,0.059253551,0.059341464,Juniperus procera,320.013548,5.036479,10.072958,species_level
13,africa_eth005,TRW,TRW,2,0.19535,AncientGroup_D_4,Cupressaceae,Juniperus,Juniperus procera Hochst. ex Endl.,38.55,8.98,2600,africa,Ethiopia,Warm Humid,1940,2004,65,7,2,"7,8,9,10,11,12,1,2",8,117078,0.774632573,113.5611897,16.946339,1.641727603,0.199550323,1.013930938,16.65769265,735.7953966,1671.781091,330.831594,0.767557996,0.190120919,0.024626052,0.214561088,0.093952798,0.05550377,0.068805823,Juniperus procera,320.013548,5.036479,10.072958,species_level
14,africa_eth006,TRW,TRW,5,0.26368,AncientGroup_D_4,Cupressaceae,Juniperus,Juniperus procera Hochst. ex Endl.,37.77,13.02,2481,africa,Ethiopia,Warm Humid,1940,2006,67,6,1,"6,7,8,9,10,11,12,1",8,110596,1.079028864,102.3428504,27.03436416,2.462222677,0.252222096,1.012815066,20.97052278,711.8015067,1716.170178,329.7558494,1.012043981,0.398965557,0.026743308,0.19438305,0.110805748,0.059253551,0.059341464,Juniperus procera,320.013548,5.036479,10.072958,species_level
15,africa_eth007,TRW,TRW,3,0.26348,AncientGroup_D_4,Cupressaceae,Juniperus,Juniperus procera Hochst. ex Endl.,37.8,13.01,2471,africa,Ethiopia,Warm Humid,1940,2014,75,6,1,"6,7,8,9,10,11,12,1",8,110596,1.082506061,102.2483809,27.22458889,2.487979587,0.252305514,0.985645835,21.05333372,708.8733472,1715.328769,335.1932771,1.01404901,0.275261171,0.02815537,0.187785913,0.104863449,0.072729214,0.05696638,Juniperus procera,320.013548,5.036479,10.072958,species_level
16,africa_mar029,TRW,TRW,4,0.20571,AncientGroup_E_5,Pinaceae,Cedrus,Cedrus atlantica (Endl.) Manetti ex Carrière,-5.23,33.24,1986,africa,Morocco,Warm Humid,1940,2011,72,2,7,"2,3,4,5,6,7",6,81710,6.398505698,54.11890919,57.45952131,1.318538583,0.500903275,1.005631224,12.85717614,353.5236173,1266.282805,335.5352352,0.686185236,0.247486777,0.048836348,0.365449263,0.028491703,0.067996736,0.034959316,Cedrus atlantica,322.711837,2.33819,4.67638,species_level
17,africa_mar033,TRW,TRW,4,0.28749,AncientGroup_E_5,Pinaceae,Cedrus,Cedrus atlantica (Endl.) Manetti ex Carrière,-5.12,33.38,1889,africa,Morocco,Warm Humid,1940,2011,72,2,7,"2,3,4,5,6,7",6,81710,6.398505698,54.11890919,57.45952131,1.318538583,0.500903275,0.967168486,12.85717614,353.5236173,1266.282805,335.5352352,0.686185236,0.314658056,0.048836348,0.365449263,0.028491703,0.067996736,0.034959316,Cedrus atlantica,322.711837,2.33819,4.67638,species_level
18,africa_mar034,TRW,TRW,3,0.18986,AncientGroup_E_5,Pinaceae,Cedrus,Cedrus atlantica (Endl.) Manetti ex Carrière,-5.03,33.78,1825,africa,Morocco,Warm Dry,1940,2004,65,11,6,"11,12,1,2,3,4,5,6",8,80990,4.195424126,53.39023847,72.18025636,0.996531425,0.215819045,1.047581497,12.0919233,560.1046243,1260.294053,330.7784386,0.456153266,0.235182196,0.047171096,0.277886215,0.034780465,0.056413908,0.043805272,Cedrus atlantica,322.711837,2.33819,4.67638,species_level
19,africa_mar037,TRW,TRW,4,0.50616,AncientGroup_E_5,Pinaceae,Pinus,Pinus halepensis Mill.,-2.88,34.02,1084,africa,Morocco,Arid,1940,2013,74,12,6,"12,1,2,3,4,5,6",7,80275,4.908659073,31.17954325,74.67982106,0.808441932,0.278060147,0.955173429,13.20061156,306.5189247,1153.018276,337.0837015,0.555440305,0.637202668,0.043674515,0.296013022,0.030989498,0.071433275,0.049029646,Pinus halepensis,304.191162,20.858865,41.71773,species_level
20,africa_mar038,TRW,TRW,4,0.46943,AncientGroup_E_5,Pinaceae,Pinus,Pinus halepensis Mill.,-2.64,34.69,820,africa,Morocco,Arid,1940,2011,72,12,7,"12,1,2,3,4,5,6,7",8,79555,5.322444218,31.99516055,77.1630018,1.730497758,0.347693752,0.969896804,16.24017885,289.2555599,1390.87688,334.9621602,0.666057659,0.607584119,0.032911468,0.293179602,0.026888609,0.068085728,0.046534792,Pinus halepensis,304.191162,20.858865,41.71773,species_level
21,africa_mar039,TRW,TRW,4,0.1219,AncientGroup_E_5,Pinaceae,Pinus,Pinus nigra J.F. Arnold,-5.13,35.17,1350,africa,Morocco,Warm Dry,1940,2005,66,2,7,"2,3,4,5,6,7",6,78830,4.886953908,52.66180413,60.52933755,2.090700294,0.298043594,0.978210783,15.04217201,327.0954598,1206.607648,330.5266674,0.563707995,0.163009314,0.037396728,0.336371811,0.0271717,0.05819895,0.050576269,Pinus nigra,304.191162,20.858865,41.71773,species_level
